Atlanta,,Boston,,Chicago,,Los Angeles,,Miami,,New York,,Philadelphia,,Salt Lake City,,San Francisco,,Seattle,,All cities,
All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours,All day,Peak hours
0.307315886,0.4081989229,0.346845299,0.5104389787,0.4677011371,0.5549535751,0.2534883618,0.3459540606,0.4816558063,0.479172945,0.3312796354,0.4058201313,0.2814632058,0.3250080347,0.4158377945,0.5695860982,0.2933072448,0.1248878613,-0.03675893322,0.5339560509,0.3672155738,0.4576417804
0.2142624259,0.07016709447,0.2545554042,0.1195490137,0.3241276145,0.170877412,0.4062618017,0.2476311773,0.4804987907,0.3299866319,0.1410643905,-0.05992070958,0.1907385141,0.05797696114,0.3100697398,0.1617527455,0.2927205861,0.529727757,0.4258919954,-0.2053457499,0.2559227645,0.09848494828
0.2901644409,0.3078285754,0.3084602654,0.4060890377,0.4699046016,0.6228548884,0.2310970426,0.2891076505,0.4468804598,0.4867137671,0.4182848632,0.4935972393,0.2905263007,0.3699722588,0.4457564354,0.5805166364,0.3109757602,0.07470739633,-0.03461146727,0.4907870293,0.3600594401,0.4579399228
0.1810258925,0.01318264008,0.1808306277,0.02146800421,0.3016692102,0.1245414838,0.3724295795,0.1751347333,0.4658330083,0.2798368037,0.1384328902,-0.03868771717,0.1714111269,-0.02947483212,0.2952170372,0.1284230947,0.3252803087,0.5556342602,0.4060493708,-0.2266233563,0.2381066382,0.05939662457
0.2770929039,0.3814214468,0.3907078207,0.5042387843,0.4559422135,0.5199845433,0.3117033541,0.4174983799,0.4611868262,0.5104044676,0.3985385895,0.4473880827,0.2242808193,0.2760833204,0.372918129,0.5055803061,0.2497068048,0.0817393437,-0.04291695729,0.4432115853,0.3643542528,0.458311379
0.1884248406,-0.02106761746,0.2156063467,0.01205617934,0.2970607579,0.1087829843,0.3758832216,0.1708037853,0.4898098409,0.3013869226,0.1576616615,-0.03823174164,0.1224657223,-0.07494795322,0.2512147725,0.05956268311,0.4014374614,0.4319760799,-0.0006886216579,-0.2484928519,0.2313222587,0.03664292395
0.2218663543,0.3511076272,0.4062435329,0.563536644,0.4404406846,0.4339188039,0.2962771058,0.3813925683,0.512568593,0.5288899541,0.38246122,0.4559644759,0.1935131401,0.2678064406,0.3275765181,0.4304215908,0.2873290777,0.1050649658,0.4036954343,0.4437252283,0.358843416,0.4411883652
0.1933503896,0.02668184973,0.2339060009,0.07070561498,0.3151702285,0.118131943,0.3477325439,0.142903626,0.483841449,0.3032934368,0.1250958294,-0.05324535444,0.2276846319,0.07530472428,0.2686731517,0.08049309254,0.338993758,0.4797763824,0.006545699667,-0.1834317893,0.2439866066,0.0597515367
0.2130295187,0.2782489657,0.4056274593,0.5615958571,0.4416095316,0.460983634,0.3183154464,0.3987839222,0.4836228192,0.4828891754,0.2978191674,0.4000671804,0.2187558711,0.3499797881,0.3891271949,0.4684972465,0.272238493,0.1444986016,0.2981876731,0.4705940783,0.3534551859,0.4276747406
0.1439444125,-0.008380386047,0.181644842,0.01224663574,0.3316857219,0.1557901651,0.3083408773,0.1311383992,0.5036469698,0.3239078224,0.1416953504,-0.06747618318,0.2785649598,0.07686830312,0.2904440761,0.1219866276,0.4028023183,0.437204808,0.05927554145,-0.1760956645,0.2451516986,0.06677147001
0.2112415433,0.3049225509,0.3474232554,0.4551649988,0.4602197409,0.5104108453,0.3587670028,0.4478547275,0.5045593381,0.6146194935,0.3742445111,0.4613388777,0.2428665161,0.2971741557,0.3762034178,0.4098109901,0.3160526454,0.1034108177,0.2504164875,0.3845000267,0.3682022691,0.4451666772
0.2050679624,0.03530136868,0.2247803062,0.07238867134,0.3275913596,0.1612302512,0.2966579199,0.1092185378,0.5117204189,0.3481013775,0.1424426138,-0.05909742042,0.2900105119,0.1001422778,0.315274924,0.1379443854,0.3467701077,0.4517865479,0.05438861623,-0.1061022505,0.2636144757,0.08736325055
0.282022953,0.3549211025,0.3840298951,0.5234927535,0.4093087912,0.5041912198,0.393238008,0.4959219396,0.4059417546,0.5010788441,0.3922891915,0.4744810164,0.2873902023,0.375333935,0.4051055908,0.5011805892,0.3010027409,0.08749742061,0.2709878385,0.369302392,0.3604282737,0.4552306235
0.2444130331,0.0564546138,0.2651682496,0.09896072745,0.3233918846,0.117065765,0.2496768385,0.08257318288,0.3575172424,0.1720844656,0.1645246595,0.008219919167,0.26696679,0.1127135828,0.3744551539,0.202859804,0.3605776429,0.5182949901,0.09730312228,-0.1323723942,0.2606391609,0.08482407779
0.3031597435,0.3796065152,0.3448381424,0.4544172287,0.3536049128,0.4076427221,0.3122001886,0.4078025818,0.4012480974,0.5420173407,0.3717193902,0.5368028283,0.2757761478,0.3692969084,0.3404902816,0.4503711462,0.2722458243,0.1544653624,0.2539076507,0.3772332966,0.3314030468,0.43690449
0.2186616361,0.0472980924,0.2277610004,0.07251165062,0.2834041417,0.08378215879,0.279887408,0.07328575104,0.3030314744,0.1296233684,0.151921168,-0.01919510774,0.2845249772,0.1187348887,0.3764596581,0.2173274308,0.4095769525,0.5017709136,0.07765045762,-0.07286982983,0.2452286631,0.0678493157
0.3130691946,0.4165591896,0.286996305,0.4259071648,0.3386727571,0.4220053852,0.2999771833,0.3922026157,0.3694310486,0.5224788189,0.328291595,0.4342045486,0.2858378887,0.4150378406,0.3446124494,0.431704253,0.2910462022,0.4848015606,0.2799532115,0.3747167885,0.3247452676,0.4355628788
0.232591182,0.06876916438,0.2450231016,0.0724151358,0.2920138836,0.09320622683,0.3246003389,0.1944558769,0.2669450939,0.1205711663,0.1569987088,-0.0598246865,0.2851756513,0.09752907604,0.3347357213,0.2097356915,0.3629339039,0.5329515338,0.1370599419,-0.067971237,0.252643317,0.08784531802
0.2767851055,0.335454911,0.3125008345,0.5108215213,0.3647941351,0.4734047353,0.3244480789,0.3784051836,0.3176541328,0.4218315184,0.333067894,0.4361214936,0.299982816,0.3985644281,0.4186097383,0.5159563422,0.2072121203,0.5611360669,0.2536744773,0.4181490242,0.3264684379,0.434704721
0.1852686107,0.02790569514,0.2839069963,0.1138713881,0.3146694005,0.1332439035,0.3808344007,0.2382548898,0.2229061276,0.02886301838,0.1623866856,0.0223947484,0.2368274331,0.04960675165,0.3455680013,0.1837841123,0.3512635529,0.6173681617,0.1171207055,-0.04023219272,0.2417230159,0.07487340271
0.2659974992,0.4335643947,0.3284752965,0.4526100159,0.3653172851,0.5202841759,0.3172117472,0.4084503353,0.3699880242,0.5231660008,0.3262652159,0.4840524495,0.2927406132,0.3900149763,0.4199565351,0.5325353742,0.1827406585,0.5137089491,0.2616604269,0.4435717165,0.3317169547,0.4647628367
0.1339871287,-0.09053025395,0.2787551582,0.09884013981,0.3210781217,0.09902153164,0.382166028,0.1960656792,0.2480690628,0.04794715345,0.1088663414,-0.1207871959,0.3138618469,0.1219050512,0.3212976754,0.1290924251,0.4365973175,0.6048603058,0.1377022862,-0.07692683488,0.2427881956,0.04300009832
0.292835176,0.4384526908,0.2937373817,0.4448561668,0.3429676592,0.5046482086,0.2915551662,0.4925296009,0.3852498233,0.5532463193,0.3030090034,0.4657375515,0.2541850805,0.3951641321,0.3766016662,0.532307446,0.120952405,0.6309607625,0.2822212279,0.4026360512,0.3230412602,0.4803465307
0.1620441079,-0.02218330838,0.274990648,0.06881520152,0.3040328324,0.06981179863,0.3488618731,0.1288812906,0.2929430902,0.07081986219,0.1294387281,-0.07328286022,0.272787869,0.08321995288,0.3163546026,0.1009781957,0.4256377816,0.07180925459,0.1567411721,-0.06391259283,0.2339527011,0.4897630811
0.3204942048,0.4497915506,0.3618268967,0.5364511609,0.3403985202,0.4904305041,0.2755405605,0.4366286993,0.3403898776,0.4986735582,0.3675852418,0.5407341123,0.2613607049,0.4268960059,0.3807911873,0.5542530417,0.08682502061,0.5798821449,0.2425889373,0.4501301944,0.3335684836,0.5114818811
0.1920474917,-0.03072956763,0.2380451113,0.0431843549,0.327811867,0.1087096855,0.345248878,0.1570813805,0.3261861801,0.1193774864,0.1431214809,-0.05916045979,0.2252563536,0.02508515678,0.2958832085,0.1050419807,0.4453332722,0.1637083143,0.0912573263,-0.03034015559,0.23181279,0.06340119243
0.3198093176,0.4970363677,0.3846391439,0.5719664693,0.3586937189,0.4689150751,0.2374352515,0.3918271959,0.3522556424,0.4943826497,0.3654454052,0.5617755055,0.2995583713,0.4834048748,0.3936166465,0.5780116916,0.1604851782,0.5799412131,0.305442214,0.415712446,0.3439007699,0.4917629957
0.1761187017,-0.0189934615,0.1965141296,0.03661181405,0.3367705643,0.1361106783,0.3862223327,0.1869727224,0.3666608036,0.1608373076,0.1861385703,0.01779888012,0.1883995682,0.01571843959,0.3375617862,0.1502539068,0.4108576179,0.1674643904,0.07166035473,-0.0770001784,0.2491612583,0.05710393563
0.277987808,0.4496006072,0.3415363431,0.5292935967,0.3663007915,0.5557482839,0.1853551567,0.3597221375,0.4043631256,0.579401195,0.3478525281,0.5257786512,0.3192849159,0.4643477499,0.3317378759,0.5243155956,0.1653721929,0.5556057096,0.3803442419,0.4831027985,0.3227864504,0.5188521147
0.1220094785,-0.05066251755,0.1901003718,0.007840380073,0.3819449842,0.2189831138,0.2782586515,0.1092113853,0.4134299159,0.2208474278,0.1688451022,0.003177002072,0.2395919114,0.06748668104,0.288317591,0.08971121162,0.4218702614,0.145187676,0.07573632151,-0.09232572466,0.233912766,0.07123508304
0.3000858426,0.4730244875,0.3218958974,0.4887476265,0.3766190708,0.5842047334,0.1793774664,0.4200560153,0.4653476179,0.6663293242,0.3307963908,0.5120918155,0.2773371339,0.4610701799,0.3467778862,0.4950341284,0.1900176853,0.5508518219,0.3444617689,0.5425001979,0.3325549066,0.5364507437
0.1806905866,0.03430052847,0.2087375522,0.02764736675,0.3241761625,0.1609212011,0.264626503,0.09559453279,0.3577588201,0.1832357049,0.2324077487,0.04763703421,0.2747715712,0.09757431597,0.3201978505,0.1546304822,0.4844993949,0.1749359369,0.05752698332,-0.06141937152,0.2425044775,0.09579802305
0.2799574435,0.4172315598,0.3650574088,0.5670377612,0.3735854924,0.5722133517,0.1167771295,0.3518372476,0.4896974564,0.7009125352,0.3227419257,0.5193479657,0.2803918719,0.5336767435,0.3552618027,0.5287900567,0.2674420178,0.6081392169,0.2995701432,0.5005178452,0.3448314071,0.4972831905
0.1824151129,-0.009861459024,0.2258047163,0.08034397662,0.3287684321,0.1988504529,0.2079992294,0.06740948558,0.3299627602,0.1901620179,0.2349581718,0.09523878247,0.2583965063,0.1004625186,0.3814620376,0.2249848098,0.4099128842,0.2250391096,0.06984459609,-0.106108509,0.2492945492,0.09486801922
0.2615255415,0.3775673211,0.324169457,0.45387128,0.4012771845,0.4992272556,0.1424479783,0.382617861,0.4574417472,0.6563718319,0.3395288289,0.5274352431,0.2197032273,0.458016783,0.31405586,0.5373253822,0.3095318973,0.5591045022,0.369476676,0.4311801195,0.3214524388,0.5143967271
0.1674130559,0.05039256439,0.1607326418,-0.00596950436,0.3216376603,0.2005339116,0.1655190885,0.01356316637,0.3512486219,0.2201639861,0.2770029306,0.1073831096,0.2045219243,0.05920363963,0.4077758789,0.2458093613,0.3836250603,0.2570497692,0.04803858325,-0.08437725157,0.2422910929,0.1001119465
0.3255060315,0.5027983785,0.3148365319,0.4975809157,0.3768045008,0.5344031453,0.1698106229,0.3822728097,0.4102663994,0.604853034,0.3413138986,0.5546243787,0.2064495832,0.4429564178,0.3759273887,0.6133573651,0.3169661164,0.5250295997,0.3368881941,0.5191990733,0.3204109669,0.5243197083
0.2097994536,0.05393472314,0.199895218,0.06442003697,0.3172788024,0.1790172309,0.148662895,0.01659053564,0.4099203944,0.2681188881,0.1821919084,0.04075057432,0.175937891,0.06812826544,0.335188508,0.2270721197,0.3854088187,0.2428875566,0.05421598628,-0.08096711338,0.2365685701,0.1079915836
0.3582965434,0.5559202433,0.3154613674,0.5269303322,0.4249143302,0.5703204274,0.1673663557,0.3575561941,0.3287675083,0.5270472169,0.4185220301,0.604465723,0.2830349207,0.4869380295,0.3399515748,0.5392149091,0.2954295278,0.5949912071,0.4034236073,0.4499600232,0.3391200006,0.5297665
0.226918444,0.08871033043,0.1836722642,0.03008330427,0.3122012317,0.1934773475,0.1494763941,0.001183981658,0.4472281337,0.2898558676,0.2043240666,0.07713626325,0.2352843136,0.1453638971,0.3243892491,0.1898842901,0.3900327384,0.1739339232,0.07068926841,-0.08293772489,0.2426962405,0.130410105
0.3730074763,0.5983861685,0.2808882296,0.4806106985,0.4523092508,0.6067950726,0.2140707076,0.3605342805,0.3512744606,0.5228396058,0.443105489,0.6199544072,0.3245685399,0.5682344437,0.3446603417,0.5394983888,0.3280631602,0.5852534771,0.3349724412,-0.0298948586,0.3510804772,0.5562208295
0.2317557484,0.1064119041,0.2137514949,0.05676542595,0.3743874133,0.2931922972,0.1279377639,0.04146779701,0.4497711062,0.2924378216,0.2744460702,0.1171150431,0.2287469953,0.1255168468,0.320664525,0.1791954786,0.4105850756,0.2254934758,0.1105432436,0.5404094458,0.2603740394,0.141899541
0.3295610845,0.5422907472,0.2936299145,0.4715590775,0.4089131057,0.5721159577,0.2601318657,0.4212566316,0.3320446014,0.5707295537,0.4369046986,0.6271511912,0.3660296798,0.5161861181,0.3768186867,0.6403744817,0.3314973712,0.6074243188,0.3571905494,0.0335753113,0.3618042767,0.5596621633
0.2426711619,0.1427982599,0.2451018542,0.112992458,0.3192434311,0.2153664231,0.1569415629,0.05218372867,0.4423571825,0.3141511381,0.2693362236,0.1513740867,0.2047119737,0.09121453017,0.2895029187,0.1437705159,0.3714250922,0.2468519211,0.1415385306,0.07991125435,0.2572052777,0.1573209465
0.3408785164,0.5523216128,0.3303976655,0.5094536543,0.4406173527,0.5619308352,0.3632078171,0.5817137957,0.3175630271,0.5119391084,0.4804909825,0.6635238528,0.3099800348,0.5271242261,0.3598227203,0.5891005397,0.3462959826,0.5745208263,0.3669039011,0.5276535153,0.3649355471,0.5405108929
0.255559355,0.1843105406,0.3363818824,0.2200873345,0.2761926949,0.1460679024,0.1565927714,0.03453001007,0.4159638584,0.2819732726,0.2413838953,0.1183517203,0.2358374447,0.1451662481,0.2962456048,0.1520970911,0.3898635507,0.2581753433,0.1272992343,0.06375008821,0.2670996487,0.168002069
0.3623605371,0.6175163388,0.2830897868,0.4232605398,0.4531449974,0.552880168,0.3230741322,0.5357491374,0.3357539475,0.5061253905,0.4364101589,0.5835316777,0.3407129645,0.5096105933,0.3632109463,0.5897199512,0.3309172988,0.5946532488,0.3946318924,0.5387185216,0.3644812107,0.5512895584
0.2042463124,0.1429885626,0.2667298317,0.1604507565,0.2323481143,0.1428119391,0.1871921271,0.08663165569,0.403883189,0.2709746063,0.2487785816,0.1799778193,0.2240193635,0.1478728205,0.3156196177,0.2255132198,0.4104822874,0.2564571202,0.2501325607,0.1613488346,0.2555273175,0.1696438789
0.3503422141,0.5584652424,0.2241392732,0.4073868692,0.4408238232,0.5598422289,0.3229886889,0.4997471571,0.3819470704,0.6098514199,0.3812995255,0.5773070455,0.3028973639,0.5338810086,0.3911468685,0.6437702179,0.2712704539,0.6884970665,0.3728832603,0.5452697873,0.3572970927,0.5491353273
0.2357311398,0.1575906128,0.3451107442,0.2256719619,0.2466871738,0.1768433005,0.1214551404,0.0214022398,0.3770627677,0.2946784496,0.2597578168,0.1762193292,0.2093999088,0.1008548066,0.3819260895,0.305493921,0.4063746333,0.2758484483,0.2182310522,0.1127752662,0.2575700283,0.198532626
0.3325251341,0.506857574,0.2416604459,0.4067672193,0.4464326501,0.5770499706,0.3594353497,0.5651911497,0.3991088569,0.5597609878,0.3922472,0.5884308219,0.3622798324,0.4940021336,0.4399298131,0.669321835,0.2802933455,0.6325533986,0.3873340189,0.5332581401,0.3774625361,0.5410174727
0.2640921772,0.2271695733,0.3086094856,0.2293421775,0.3068647981,0.1946633309,0.1087006629,0.01113381982,0.3658928275,0.2774865329,0.2253983766,0.1187063158,0.2751555741,0.1697732955,0.4264769852,0.3702090681,0.4426229298,0.3162152469,0.2034117281,0.1370783597,0.2811616957,0.191507414
0.3514131308,0.5713114142,0.2668552697,0.3837057054,0.3794264495,0.4759069979,0.3490595818,0.4890235662,0.3376141787,0.511875391,0.4027294815,0.6491706371,0.381166935,0.5197093487,0.4689312279,0.6567773223,0.325001359,0.6728609204,0.37235111,0.1838427931,0.3752702475,0.5432212949
0.3098578453,0.2193697691,0.2563176751,0.1789098531,0.2835335732,0.2008545548,0.1045487002,0.05382479355,0.4089031816,0.3470726907,0.2444546968,0.1459095329,0.2071085125,0.07560998201,0.4103956819,0.3338955641,0.4413100481,0.2797054946,0.2482389808,0.4871046543,0.2768351734,0.1762284338
0.3226308525,0.5465636253,0.3074096739,0.4097653627,0.3293767571,0.4801368415,0.3613599539,0.5909939408,0.3774211705,0.5164384842,0.4017071128,0.5909284949,0.4219933748,0.5324314237,0.4762343168,0.6571750641,0.3376122713,0.6344918013,0.3448929191,0.1132765636,0.3826778233,0.5440911651
0.2848014534,0.1595832258,0.2279706895,0.195335269,0.2776928544,0.1740913987,0.08628711104,0.03665138409,0.4279195666,0.3434256017,0.2797714472,0.1698915511,0.1057281867,0.02242838405,0.3724963367,0.2656238973,0.4548899233,0.2397486717,0.226814732,0.5021359324,0.2603693008,0.2098271698
0.3056499064,0.4349705875,0.3802526891,0.4768488109,0.3441087902,0.5354847312,0.3780553639,0.5396801829,0.4002345502,0.5595583916,0.3950415254,0.5473617315,0.4407679737,0.5400539637,0.4468876719,0.6328240037,0.3718777001,0.7568810582,0.3509105146,0.1226327792,0.391824007,0.5373836756
0.3323931694,0.2475045472,0.2380429804,0.1917710751,0.3285135627,0.2620880306,0.1009009928,0.06024051085,0.4578264356,0.3626544178,0.2677074075,0.1822263747,0.1245975792,0.05511819944,0.3783650994,0.2963684797,0.5457329154,0.1795525402,0.2639039457,0.4949758947,0.2848463953,0.1902775019
0.3034863174,0.5002021194,0.3260570168,0.4670367241,0.3804094195,0.4915906489,0.3891051412,0.5093259215,0.4291507602,0.5334383845,0.4413339496,0.56669873,0.3928933144,0.5099591017,0.4565276802,0.6199831367,0.3841771483,0.6365833879,0.3262161016,0.1554569006,0.4009589553,0.5391815901
